UniProt_Accession,Gene_Name,GO_Identifier,GO_Term,Protein_Name,Synonyms,Confidence_Level,MC_PMID
Q16513,PKN2,GO:0016604|GO:0032154|GO:0030030|GO:0007155|GO:0006468|GO:0005654|GO:0051301|GO:0070063|GO:0005524|GO:0003723|GO:0045111|GO:0043297|GO:0045296|GO:0006915|GO:0043296|GO:0016032|GO:0005829|GO:0045070|GO:0017049|GO:0010631|GO:0032467|GO:0035556|GO:0030027|GO:0042826|GO:0007165|GO:0004672|GO:0004674|GO:0004698|GO:0005886|GO:0007049|GO:0045931|GO:0005634|GO:0005813|GO:0005515|GO:0048471|GO:0005737|GO:2000145|GO:0032991|GO:0030496|GO:0018105|GO:0016301,nuclear body|cleavage furrow|cell projection organization|cell adhesion|protein phosphorylation|nucleoplasm|cell division|RNA polymerase binding|ATP binding|RNA binding|intermediate filament cytoskeleton|apical junction assembly|cadherin binding|apoptotic process|apical junction complex|viral process|cytosol|positive regulation of viral genome replication|GTP-Rho binding|epithelial cell migration|positive regulation of cytokinesis|intracellular signal transduction|lamellipodium|histone deacetylase binding|signal transduction|protein kinase activity|protein serine/threonine kinase activity|calcium-dependent protein kinase C activity|plasma membrane|cell cycle|positive regulation of mitotic cell cycle|nucleus|centrosome|protein binding|perinuclear region of cytoplasm|cytoplasm|regulation of cell motility|protein-containing complex|midbody|peptidyl-serine phosphorylation|kinase activity,Serine/threonine-protein kinase N2,PRK2|PRKCL2,4,
Q9BS16,CENPK,GO:0005515|GO:0000070|GO:0005829|GO:0051382|GO:0000941|GO:0034080|GO:0005654,protein binding|mitotic sister chromatid segregation|cytosol|kinetochore assembly|condensed nuclear chromosome inner kinetochore|CENP-A containing nucleosome assembly|nucleoplasm,Centromere protein K,ICEN37|FKSG14,4,
P54132,BLM,GO:0016887|GO:0090656|GO:0006281|GO:0007095|GO:0016605|GO:0000733|GO:0004386|GO:0003697|GO:0000781|GO:0002039|GO:0051880|GO:0045893|GO:0005829|GO:0008270|GO:0044806|GO:0051260|GO:1901796|GO:0000228|GO:0006974|GO:0005634|GO:0005515|GO:0061849|GO:0016363|GO:0032991|GO:0051259|GO:0036310|GO:0010165|GO:0006260|GO:0009378|GO:0005694|GO:0005730|GO:0006268|GO:0000079|GO:0005654|GO:0005524|GO:0051782|GO:0032508|GO:0071479|GO:0031297|GO:0008094|GO:0042802|GO:0000729|GO:0042803|GO:1905773|GO:0000405|GO:0000724|GO:0006310|GO:0000800|GO:0000723|GO:0000403|GO:0061749|GO:0043138|GO:0000400|GO:0061820|GO:0061821|GO:0045910|GO:0005657|GO:0003677|GO:0003678|GO:0048478|GO:0005737|GO:0072711|GO:0072757|GO:0090329,ATPase activity|t-circle formation|DNA repair|mitotic G2 DNA damage checkpoint|PML body|DNA strand renaturation|helicase activity|single-stranded DNA binding|chromosome  telomeric region|p53 binding|G-quadruplex DNA binding|positive regulation of transcription  DNA-templated|cytosol|zinc ion binding|G-quadruplex DNA unwinding|protein homooligomerization|regulation of signal transduction by p53 class mediator|nuclear chromosome|cellular response to DNA damage stimulus|nucleus|protein binding|telomeric G-quadruplex DNA binding|nuclear matrix|protein-containing complex|protein complex oligomerization|annealing helicase activity|response to X-ray|DNA replication|four-way junction helicase activity|chromosome|nucleolus|DNA unwinding involved in DNA replication|regulation of cyclin-dependent protein serine/threonine kinase activity|nucleoplasm|ATP binding|negative regulation of cell division|DNA duplex unwinding|cellular response to ionizing radiation|replication fork processing|DNA-dependent ATPase activity|identical protein binding|DNA double-strand break processing|protein homodimerization activity|8-hydroxy-2'-deoxyguanosine DNA binding|bubble DNA binding|double-strand break repair via homologous recombination|DNA recombination|lateral element|telomere maintenance|Y-form DNA binding|forked DNA-dependent helicase activity|3'-5' DNA helicase activity|four-way junction DNA binding|telomeric D-loop disassembly|telomeric D-loop binding|negative regulation of DNA recombination|replication fork|DNA binding|DNA helicase activity|replication fork protection|cytoplasm|cellular response to hydroxyurea|cellular response to camptothecin|regulation of DNA-dependent DNA replication,Bloom syndrome protein,RECQ2|RECQL3,3,
O43597,SPRY2,GO:0016525|GO:0040037|GO:0015630|GO:0030291|GO:0043407|GO:0008285|GO:0060449|GO:0048513|GO:0042059|GO:0007605|GO:0005623|GO:1900747|GO:0051387|GO:0046580|GO:0045595|GO:0015629|GO:0005829|GO:0032587|GO:0033138|GO:0019901|GO:0034260|GO:0043539|GO:0060437|GO:0005886|GO:0000132|GO:0005634|GO:0005515|GO:0005856|GO:1990752|GO:1990830|GO:0010801|GO:0010628|GO:0043066|GO:0070373|GO:0016020|GO:0042472|GO:0045165|GO:0070374|GO:0035924|GO:0071902|GO:0031345|GO:0051897|GO:0030335,negative regulation of angiogenesis|negative regulation of fibroblast growth factor receptor signaling pathway|microtubule cytoskeleton|protein serine/threonine kinase inhibitor activity|negative regulation of MAP kinase activity|negative regulation of cell population proliferation|bud elongation involved in lung branching|animal organ development|negative regulation of epidermal growth factor receptor signaling pathway|sensory perception of sound|cell|negative regulation of vascular endothelial growth factor signaling pathway|negative regulation of neurotrophin TRK receptor signaling pathway|negative regulation of Ras protein signal transduction|regulation of cell differentiation|actin cytoskeleton|cytosol|ruffle membrane|positive regulation of peptidyl-serine phosphorylation|protein kinase binding|negative regulation of GTPase activity|protein serine/threonine kinase activator activity|lung growth|plasma membrane|establishment of mitotic spindle orientation|nucleus|protein binding|cytoskeleton|microtubule end|cellular response to leukemia inhibitory factor|negative regulation of peptidyl-threonine phosphorylation|positive regulation of gene expression|negative regulation of apoptotic process|negative regulation of ERK1 and ERK2 cascade|membrane|inner ear morphogenesis|cell fate commitment|positive regulation of ERK1 and ERK2 cascade|cellular response to vascular endothelial growth factor stimulus|positive regulation of protein serine/threonine kinase activity|negative regulation of cell projection organization|positive regulation of protein kinase B signaling|positive regulation of cell migration,Protein sprouty homolog 2,,4,
P49454,CENPF,GO:0007094|GO:0008022|GO:0015031|GO:0007059|GO:0000776|GO:0000775|GO:0000278|GO:0005930|GO:0005654|GO:0051301|GO:0005623|GO:0045892|GO:0001822|GO:0071897|GO:0005829|GO:0051726|GO:0070840|GO:0042803|GO:0036064|GO:0000922|GO:0051382|GO:0003682|GO:0008134|GO:0000940|GO:0000785|GO:0005635|GO:0007517|GO:0021591|GO:0005634|GO:0005813|GO:0051310|GO:0005515|GO:0048471|GO:0005737|GO:0042493|GO:0045120|GO:0005819|GO:0030154|GO:0016363|GO:0097539|GO:0030496|GO:0016202|GO:0010389,mitotic spindle assembly checkpoint|protein C-terminus binding|protein transport|chromosome segregation|kinetochore|chromosome  centromeric region|mitotic cell cycle|axoneme|nucleoplasm|cell division|cell|negative regulation of transcription  DNA-templated|kidney development|DNA biosynthetic process|cytosol|regulation of cell cycle|dynein complex binding|protein homodimerization activity|ciliary basal body|spindle pole|kinetochore assembly|chromatin binding|transcription factor binding|condensed chromosome outer kinetochore|chromatin|nuclear envelope|muscle organ development|ventricular system development|nucleus|centrosome|metaphase plate congression|protein binding|perinuclear region of cytoplasm|cytoplasm|response to drug|pronucleus|spindle|cell differentiation|nuclear matrix|ciliary transition fiber|midbody|regulation of striated muscle tissue development|regulation of G2/M transition of mitotic cell cycle,Centromere protein F,,4,
P49450,CENPA,GO:0000939|GO:0000778|GO:0051382|GO:0000788|GO:0003682|GO:0000775|GO:0034080|GO:0005654|GO:0000132|GO:0003677|GO:0005623|GO:0005634|GO:0000780|GO:0005515|GO:0046982|GO:0000281|GO:0031618|GO:0016032|GO:0005829|GO:0071459,condensed chromosome inner kinetochore|condensed nuclear chromosome kinetochore|kinetochore assembly|nuclear nucleosome|chromatin binding|chromosome  centromeric region|CENP-A containing nucleosome assembly|nucleoplasm|establishment of mitotic spindle orientation|DNA binding|cell|nucleus|condensed nuclear chromosome  centromeric region|protein binding|protein heterodimerization activity|mitotic cytokinesis|nuclear pericentric heterochromatin|viral process|cytosol|protein localization to chromosome  centromeric region,Histone H3-like centromeric protein A,,4,
J3QRK9,J3QRK9,GO:0005634|GO:0000086|GO:0005829|GO:0031146|GO:0019005|GO:0051726,nucleus|G2/M transition of mitotic cell cycle|cytosol|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|SCF ubiquitin ligase complex|regulation of cell cycle,Uncharacterized protein (Fragment),J3QRK9|PTN001441783,4,
Q6WBX8,RAD9B,GO:0005634|GO:0090305|GO:0008408|GO:0006281|GO:0000076|GO:0005515|GO:0006260|GO:1901796|GO:0071479|GO:0031573|GO:0005654|GO:0030896,nucleus|nucleic acid phosphodiester bond hydrolysis|3'-5' exonuclease activity|DNA repair|DNA replication checkpoint|protein binding|DNA replication|regulation of signal transduction by p53 class mediator|cellular response to ionizing radiation|intra-S DNA damage checkpoint|nucleoplasm|checkpoint clamp complex,Cell cycle checkpoint control protein RAD9B,,3,
Q5SQI0,ATAT1,GO:0070507|GO:0060271|GO:0007283|GO:0071929|GO:0005794|GO:0045598|GO:0048666|GO:1900227|GO:0021542|GO:0005874|GO:0004468|GO:0050662|GO:0005925|GO:0072686|GO:0005905|GO:0097427|GO:0005829|GO:0019799|GO:0030424,regulation of microtubule cytoskeleton organization|cilium assembly|spermatogenesis|alpha-tubulin acetylation|Golgi apparatus|regulation of fat cell differentiation|neuron development|positive regulation of NLRP3 inflammasome complex assembly|dentate gyrus development|microtubule|lysine N-acetyltransferase activity  acting on acetyl phosphate as donor|coenzyme binding|focal adhesion|mitotic spindle|clathrin-coated pit|microtubule bundle|cytosol|tubulin N-acetyltransferase activity|axon,Alpha-tubulin N-acetyltransferase 1,C6orf134|MEC17|Nbla00487,1,27551500
Q08209,PPP3CA,GO:0035562|GO:0036057|GO:0008144|GO:0045807|GO:1903244|GO:0051091|GO:0044877|GO:0005623|GO:0097720|GO:0071333|GO:0005509|GO:0042383|GO:0043197|GO:0005829|GO:0098978|GO:0014898|GO:0033173|GO:0060079|GO:0007223|GO:0046983|GO:0007420|GO:0005886|GO:0030018|GO:0005516|GO:0005515|GO:0005955|GO:0006606|GO:0030335|GO:0014883|GO:0038095|GO:0042110|GO:0099170|GO:0045785|GO:0046676|GO:1905205|GO:0045944|GO:0005654|GO:0043403|GO:0009898|GO:0050774|GO:0070262|GO:0048741|GO:0000082|GO:0006816|GO:0033555|GO:0016311|GO:0016018|GO:0033192|GO:0035690|GO:0006470|GO:1903799|GO:0007568|GO:0004722|GO:0098685|GO:0001975|GO:0005737|GO:0051592|GO:0005739|GO:0019897|GO:0019899|GO:0051117,negative regulation of chromatin binding|slit diaphragm|drug binding|positive regulation of endocytosis|positive regulation of cardiac muscle hypertrophy in response to stress|positive regulation of DNA-binding transcription factor activity|protein-containing complex binding|cell|calcineurin-mediated signaling|cellular response to glucose stimulus|calcium ion binding|sarcolemma|dendritic spine|cytosol|glutamatergic synapse|cardiac muscle hypertrophy in response to stress|calcineurin-NFAT signaling cascade|excitatory postsynaptic potential|Wnt signaling pathway  calcium modulating pathway|protein dimerization activity|brain development|plasma membrane|Z disc|calmodulin binding|protein binding|calcineurin complex|protein import into nucleus|positive regulation of cell migration|transition between fast and slow fiber|Fc-epsilon receptor signaling pathway|T cell activation|postsynaptic modulation of chemical synaptic transmission|positive regulation of cell adhesion|negative regulation of insulin secretion|positive regulation of connective tissue replacement|positive regulation of transcription by RNA polymerase II|nucleoplasm|skeletal muscle tissue regeneration|cytoplasmic side of plasma membrane|negative regulation of dendrite morphogenesis|peptidyl-serine dephosphorylation|skeletal muscle fiber development|G1/S transition of mitotic cell cycle|calcium ion transport|multicellular organismal response to stress|dephosphorylation|cyclosporin A binding|calmodulin-dependent protein phosphatase activity|cellular response to drug|protein dephosphorylation|negative regulation of production of miRNAs involved in gene silencing by miRNA|aging|protein serine/threonine phosphatase activity|Schaffer collateral - CA1 synapse|response to amphetamine|cytoplasm|response to calcium ion|mitochondrion|extrinsic component of plasma membrane|enzyme binding|ATPase binding,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,CALNA|CNA,4,
Q9NUH8,TMEM14B,GO:0005515|GO:0031966|GO:0006839|GO:0061351|GO:0016020|GO:0016021|GO:2000045|GO:0021987|GO:0005743,protein binding|mitochondrial membrane|mitochondrial transport|neural precursor cell proliferation|membrane|integral component of membrane|regulation of G1/S transition of mitotic cell cycle|cerebral cortex development|mitochondrial inner membrane,Transmembrane protein 14B,,4,
P81274,GPSM2,GO:0016328|GO:0005092|GO:0008022|GO:0007052|GO:1904778|GO:0043621|GO:0000166|GO:0051301|GO:0005623|GO:0001965|GO:0051661|GO:0050790|GO:0005829|GO:0070840|GO:0031291|GO:0019904|GO:0042802|GO:0007186|GO:1905832|GO:0060236|GO:0000132|GO:0005813|GO:0097575|GO:0005515|GO:0097431|GO:0005737|GO:0005938|GO:0099738|GO:0032991,lateral plasma membrane|GDP-dissociation inhibitor activity|protein C-terminus binding|mitotic spindle organization|positive regulation of protein localization to cell cortex|protein self-association|nucleotide binding|cell division|cell|G-protein alpha-subunit binding|maintenance of centrosome location|regulation of catalytic activity|cytosol|dynein complex binding|Ran protein signal transduction|protein domain specific binding|identical protein binding|G protein-coupled receptor signaling pathway|positive regulation of spindle assembly|regulation of mitotic spindle organization|establishment of mitotic spindle orientation|centrosome|lateral cell cortex|protein binding|mitotic spindle pole|cytoplasm|cell cortex|cell cortex region|protein-containing complex,G-protein-signaling modulator 2,LGN,4,
Q9H9A5,CNOT10,GO:0005634|GO:0005515|GO:0006977|GO:0016020|GO:0005829|GO:0031047|GO:0006402|GO:0030014|GO:0017148|GO:0000289,nucleus|protein binding|DNA damage response  signal transduction by p53 class mediator resulting in cell cycle arrest|membrane|cytosol|gene silencing by RNA|mRNA catabolic process|CCR4-NOT complex|negative regulation of translation|nuclear-transcribed mRNA poly(A) tail shortening,CCR4-NOT transcription complex subunit 10,,4,
P02545,LMNA,GO:0036498|GO:0016604|GO:0008285|GO:0016607|GO:1903243|GO:1900114|GO:0005654|GO:0072201|GO:0005829|GO:0071456|GO:0034504|GO:0007084|GO:0090201|GO:0090343|GO:0005635|GO:0005634|GO:0031965|GO:0005515|GO:0031647|GO:0005638|GO:0006606|GO:0010628|GO:2001237|GO:0055015|GO:0030334|GO:1900180|GO:0030951,IRE1-mediated unfolded protein response|nuclear body|negative regulation of cell population proliferation|nuclear speck|negative regulation of cardiac muscle hypertrophy in response to stress|positive regulation of histone H3-K9 trimethylation|nucleoplasm|negative regulation of mesenchymal cell proliferation|cytosol|cellular response to hypoxia|protein localization to nucleus|mitotic nuclear envelope reassembly|negative regulation of release of cytochrome c from mitochondria|positive regulation of cell aging|nuclear envelope|nucleus|nuclear membrane|protein binding|regulation of protein stability|lamin filament|protein import into nucleus|positive regulation of gene expression|negative regulation of extrinsic apoptotic signaling pathway|ventricular cardiac muscle cell development|regulation of cell migration|regulation of protein localization to nucleus|establishment or maintenance of microtubule cytoskeleton polarity,Prelamin-A/C,LMN1,4,
